Well Name,Consistent_Well Name,qld_database_id
Tipton 434,Tipton 434,-1
Tipton 649,Tipton 649,-1
Tipton 620,Tipton 620,-1
Alderley 192,Alderley 192,-1
Alderley 220,Alderley 220,-1
Alderley 107,Alderley 107,-1
Tipton-116,Tipton 116,-1
Tipton West 430,Tipton West 430,-1
Tipton-153,Tipton 153,-1
Tipton-178,Tipton 178,-1
Tipton 262,Tipton 262,-1
Tipton 252,Tipton 252,-1
Carn Brea-9,Carn Brea 9,-1
Alderley 233,Alderley 233,-1
Tipton 430,Tipton 430,-1
Tipton 431,Tipton 431,-1
Tipton-42,Tipton 42,-1
Tipton 293,Tipton 293,-1
Tipton 268,Tipton 268,-1
Tipton 272,Tipton 272,-1
Tipton-76,Tipton 76,-1
Alderley 307,Alderley 307,-1
GC004C,GC004C,-1
GC005C,GC005C,-1
GC007C,GC007C,-1
Warra-5,Warra 5,-1
BWP-10,BWP 10,-1
PD064C,PD064C,-1
PD064CR,PD064CR,-1
KC015C,KC015C,-1
WB012CR,WB012CR,-1
WB003C,WB003C,-1
WB004C,WB004C,-1
Kedron 189,Kedron 189,-1
PD159W,PD159W,-1
PD160W,PD160W,-1
PD157W,PD157W,-1
PD153W,PD153W,-1
PD154W,PD154W,-1
PD155W,PD155W,-1
PD156W,PD156W,-1
Kedron 116,Kedron 116,-1
Kedron 149,Kedron 149,-1
Kedron 159,Kedron 159,-1
SJ092V,SJ092V,-1
NP003P,NP003P,-1
PD112A,PD112A,-1
Kogan North 215,Kogan North 215,-1
Kogan North 216,Kogan North 216,-1
Kogan North 303,Kogan North 303,-1
Red Hill 114V,Red Hill 114V,-1
Red Hill 68V,Red Hill 68V,-1
Kogan North 310,Kogan North 310,-1
RH023GLA,RH023GLA,-1
Red Hill 95A,Red Hill 95A,-1
Red Hill 96A,Red Hill 96A,-1
Red Hill 97A,Red Hill 97A,-1
RH022GLA,RH022GLA,-1
Red Hill 89A,Red Hill 89A,-1
Red Hill 90A,Red Hill 90A,-1
Red Hill 91A,Red Hill 91A,-1
Red Hill 88A,Red Hill 88A,-1
RHGU002A,RHGU002A,-1
Red Hill 86A,Red Hill 86A,-1
Red Hill 87A,Red Hill 87A,-1
Kogan North 261,Kogan North 261,-1
Kogan North 262,Kogan North 262,-1
Kogan North-46,Kogan North 46,-1
Kogan North 96,Kogan North 96,-1
Kogan North 217,Kogan North 217,-1
Daandine 231,Daandine 231,-1
Daandine 232,Daandine 232,-1
Daandine 233,Daandine 233,-1
Daandine-153,Daandine 153,-1
GC006C,GC006C,-1
EF014C,EF014C,-1
Daandine-43,Daandine 43,-1
Daandine-4,Daandine 4,-1
SW040,SW040,-1
SW041C,SW041C,-1
SW042C,SW042C,-1
SW044C,SW044C,-1
Daandine 234,Daandine 234,-1
Daandine 235,Daandine 235,-1
Daandine 236,Daandine 236,-1
Daandine 237,Daandine 237,-1
Daandine 238,Daandine 238,-1
PD021P,PD021P,-1
PD043C,PD043C,-1
EF011C,EF011C,-1
EF013C,EF013C,-1
EF001C,EF001C,-1
LW029,LW029,-1
Hopeland 471,Hopeland 471,-1
Hopeland 472,Hopeland 472,-1
Hopeland 473,Hopeland 473,-1
Hopeland 474,Hopeland 474,-1
Hopeland 475,Hopeland 475,-1
Hopeland 476,Hopeland 476,-1
Hopeland 477,Hopeland 477,-1
Hopeland 478,Hopeland 478,-1
CX021LL2VR,CX021LL2VR,-1
CX090V,CX090V,-1
CX091V,CX091V,-1
PD032F,PD032F,-1
Hopeland 372,Hopeland 372,-1
Hopeland 181,Hopeland 181,-1
Hopeland 182,Hopeland 182,-1
Hopeland 183,Hopeland 183,-1
Hopeland 184,Hopeland 184,-1
Hopeland 61,Hopeland 61,-1
Hopeland 62,Hopeland 62,-1
Hopeland 63,Hopeland 63,-1
