CONSISTENT_ORIG_NAME_NO,arrow_row_id
NO NAME,-1
HOUSE BORE,-1
SHANDONVALE,-1
DESERT MILL BORE,-1
SYPHON MILL BORE,-1
HOUSE BORE,-1
JERSY BORE,-1
LITTLE JERSY,-1
IVY LEAF NO.3,-1
IVYLEAF NO 1A,-1
IVY LEAF NO.2,-1
SPRINGTON NO 1,-1
SPRINGTON NO 2 BORE,-1
SPRINGTON NO 3,-1
STAINBURN NO.1,-1
RIDERS BORE,-1
HOUSE BORE,-1
COULOUGH BORE,-1
HOUSE BORE KINGSBOROUGH,-1
LILYDALE,-1
MOBLE CREEK BORE,-1
SALTBUSH PLAINS,-1
INGEBERRY NO 1,-1
CASTLES BORE,-1
WAMBIN NO 1,-1
WAMBIN NO 2,-1
WAMBIN NO 3,-1
WAMBIN NO 4,-1
WANNA NO 1 BORE,-1
NO NAME,-1
VERONA BORE,-1
TAUTALLON BORE,-1
PIEDMONT BORE,-1
PADUA BORE,-1
UNDINE BORE,-1
MEDINA BORE,-1
WINGARIE BORE,-1
GOANNA BORE,-1
BOYEO BORE,-1
MALO BORE,-1
CLUMMY BORE,-1
EMU BORE,-1
MILAN BORE,-1
TUSCANNY BORE,-1
LEAPYEAR BORE,-1
NO NAME,-1
VERA PARK,-1
ROCKY BORE,-1
WILLIAMS BORE,-1
SHELBOURNE NO 1,-1
SHELBOURNE NO 2,-1
COLOMBO BORE,-1
HOMESTEAD BORE,-1
IRON TANK BORE,-1
LITTLE FLOW BORE,-1
GLENBAR BORE,-1
ALEXANDER NO.1 BORE,-1
HOUSE BORE,-1
MT.ARTHUR NO.1,-1
HAROLDSTONE NO.1,-1
HAROLDSTONE NO.2,-1
AVONLEIGH NO1,-1
AVON NO.1 BORE,-1
AVONLIEGH (3),-1
COOLAGH BORE,-1
URAMBIE NO 4,-1
URAMBIE NO 5,-1
AVONDALE,-1
PRAIRIE DOWNS NO.1,-1
PRAIRIE DOWNS NO.2,-1
EVANS BORE,-1
AVONDALE DUD BORE,-1
AVONDALE BORE,-1
SIX MILE BORE,-1
SIX MILE NO.2 BORE,-1
6 MILE BORE,-1
TEVIOT,-1
BLUMFIELD,-1
NO.1 BORE,-1
NO.2 BORE,-1
NO.3 BORE,-1
NO.4 BORE,-1
JUAN,-1
KANGAROO PLAINS BORE,-1
GOOLBURRA,-1
WALLEN NO 1,-1
WALLEN NO2,-1
NO 1 DEEPENED 110641,-1
COCKLARINA,-1
WALLEN NO3,-1
GOOLBURRA NO 2,-1
GOOLBURRA NO 3,-1
HOMESTEAD,-1
WALLEN NO4,-1
LEDGER BORE,-1
GREASY BORE,-1
LOWER BORE,-1
SOUTH PADDOCK BORE,-1
TOP BOUNDARY BORE,-1
SOUTH DELTA BORE 3,-1
BRACKHILL BORE,-1
